train_loss,epoch,step
9.054389953613281,0,49
8.149153709411621,1,99
7.974766254425049,2,149
7.687084197998047,3,199
7.501607894897461,4,249
7.201101779937744,5,299
6.965484142303467,6,349
7.519960403442383,7,399
7.044760227203369,8,449
7.020587921142578,9,499
6.745157241821289,10,549
6.729289531707764,11,599
7.2207441329956055,12,649
6.972294807434082,13,699
6.636935234069824,14,749
6.451054573059082,15,799
6.55991268157959,16,849
6.436727523803711,17,899
6.298592567443848,18,949
6.2807111740112305,19,999
6.15366268157959,20,1049
6.385390758514404,21,1099
6.229324817657471,22,1149
6.123373031616211,23,1199
6.107693672180176,24,1249
6.0195207595825195,25,1299
6.267706871032715,26,1349
6.004580497741699,27,1399
6.11293888092041,28,1449
5.9790449142456055,29,1499
5.997181415557861,30,1549
5.9058122634887695,31,1599
5.835235118865967,32,1649
5.944911003112793,33,1699
5.911820888519287,34,1749
5.822556972503662,35,1799
5.823127269744873,36,1849
6.010941982269287,37,1899
5.745281219482422,38,1949
6.0246052742004395,39,1999
6.221220016479492,40,2049
5.9164323806762695,41,2099
5.771910190582275,42,2149
5.8232598304748535,43,2199
5.873582363128662,44,2249
5.6732025146484375,45,2299
5.729507923126221,46,2349
5.659623622894287,47,2399
5.620627403259277,48,2449
5.785733222961426,49,2499
