step,epoch,train_loss
49,0,10.995291709899902
99,1,10.040664672851562
149,2,9.93721866607666
199,3,9.889697074890137
249,4,9.869965553283691
299,5,9.721500396728516
349,6,9.718338966369629
399,7,9.469128608703613
449,8,9.356311798095703
499,9,9.19992446899414
549,10,9.196444511413574
599,11,9.048286437988281
649,12,8.847809791564941
699,13,9.404980659484863
749,14,8.94863224029541
799,15,8.87764835357666
849,16,8.721550941467285
899,17,8.809752464294434
949,18,8.848043441772461
999,19,8.631803512573242
1049,20,8.7803373336792
1099,21,8.783596992492676
1149,22,8.428305625915527
1199,23,8.396912574768066
1249,24,8.344221115112305
1299,25,8.300603866577148
1349,26,8.197541236877441
1399,27,8.235952377319336
1449,28,8.245967864990234
1499,29,8.287485122680664
1549,30,8.227177619934082
1599,31,8.10929012298584
1649,32,8.055537223815918
1699,33,8.138991355895996
1749,34,8.17789077758789
1799,35,8.063950538635254
1849,36,8.160593032836914
1899,37,8.201650619506836
1949,38,8.02141284942627
1999,39,7.951352596282959
2049,40,8.103404998779297
2099,41,7.865174770355225
2149,42,7.86171817779541
2199,43,7.85820198059082
2249,44,7.7581939697265625
2299,45,7.7844061851501465
2349,46,7.805057525634766
2399,47,7.776159763336182
2449,48,7.643390655517578
2499,49,7.730907440185547
