step,epoch,train_loss
49,0,8.66605281829834
99,1,7.590573787689209
149,2,7.337855815887451
199,3,7.294182777404785
249,4,7.168008804321289
299,5,7.10511589050293
349,6,7.205767631530762
399,7,6.814171314239502
449,8,6.798883438110352
499,9,6.487666130065918
549,10,6.370824813842773
599,11,6.255980014801025
649,12,6.129972457885742
699,13,6.048682689666748
749,14,6.017963886260986
799,15,5.907774448394775
849,16,5.894190788269043
899,17,5.870838642120361
949,18,5.773813247680664
999,19,5.6895246505737305
1049,20,5.677801132202148
1099,21,5.6365156173706055
1149,22,5.650662899017334
1199,23,5.736037731170654
1249,24,5.496801376342773
1299,25,5.4820332527160645
1349,26,5.420913219451904
1399,27,5.433307647705078
1449,28,5.352447986602783
1499,29,5.422398090362549
1549,30,5.331453323364258
1599,31,5.429247856140137
1649,32,5.344837665557861
1699,33,5.342188835144043
1749,34,5.254648208618164
1799,35,5.679388999938965
1849,36,5.195630073547363
1899,37,5.447978496551514
1949,38,5.329950332641602
1999,39,5.230792999267578
2049,40,5.131170749664307
2099,41,5.263372421264648
2149,42,5.129037380218506
2199,43,5.233549118041992
2249,44,5.208064079284668
2299,45,5.1866350173950195
2349,46,5.224198818206787
2399,47,5.0428056716918945
2449,48,5.0509467124938965
2499,49,4.987268447875977
