epoch,step,train_loss
0,49,9.561803817749023
1,99,8.742132186889648
2,149,8.630587577819824
3,199,8.45322036743164
4,249,8.55788516998291
5,299,8.688372611999512
6,349,8.121559143066406
7,399,8.316498756408691
8,449,7.893106460571289
9,499,7.741340160369873
10,549,7.725198745727539
11,599,7.808136463165283
12,649,7.499232292175293
13,699,7.390562534332275
14,749,7.326288223266602
15,799,7.300713062286377
16,849,7.241175651550293
17,899,7.180845737457275
18,949,7.2404584884643555
19,999,7.1414031982421875
20,1049,7.26919412612915
21,1099,6.935547351837158
22,1149,7.070926666259766
23,1199,6.849981784820557
24,1249,6.901775360107422
25,1299,6.823649883270264
26,1349,6.7810797691345215
27,1399,6.790703773498535
28,1449,6.713803768157959
29,1499,6.704433441162109
30,1549,6.7265424728393555
31,1599,6.697157382965088
32,1649,6.6884074211120605
33,1699,6.565201282501221
34,1749,6.6956682205200195
35,1799,6.7123799324035645
36,1849,6.946734428405762
37,1899,6.69242000579834
38,1949,6.4704365730285645
39,1999,6.455986499786377
40,2049,6.507020473480225
41,2099,6.436641693115234
42,2149,7.004087448120117
43,2199,6.643857479095459
44,2249,6.439533233642578
45,2299,6.307902812957764
46,2349,7.1182861328125
47,2399,6.713427543640137
48,2449,6.436575889587402
49,2499,6.311211109161377
