epoch,step,train_loss
0,49,9.831114768981934
1,99,8.820887565612793
2,149,8.706009864807129
3,199,8.602482795715332
4,249,8.381887435913086
5,299,8.322410583496094
6,349,8.50655746459961
7,399,8.404748916625977
8,449,8.176774024963379
9,499,7.912968635559082
10,549,7.832902431488037
11,599,7.889290809631348
12,649,7.559086322784424
13,699,8.332364082336426
14,749,8.041227340698242
15,799,7.478899955749512
16,849,7.547169208526611
17,899,7.276933670043945
18,949,7.308576583862305
19,999,7.2608466148376465
20,1049,7.117010593414307
21,1099,7.041067123413086
22,1149,7.13266134262085
23,1199,6.941178798675537
24,1249,7.0685014724731445
25,1299,6.9975266456604
26,1349,6.972421646118164
27,1399,6.991576671600342
28,1449,6.8051276206970215
29,1499,6.775214672088623
30,1549,6.724040508270264
31,1599,6.655972480773926
32,1649,6.7240071296691895
33,1699,6.753427505493164
34,1749,6.648894786834717
35,1799,6.587522506713867
36,1849,6.916719436645508
37,1899,6.57175350189209
38,1949,6.563779830932617
39,1999,6.511389255523682
40,2049,6.4748992919921875
41,2099,6.967479228973389
42,2149,6.989497184753418
43,2199,6.710422515869141
44,2249,6.457658290863037
45,2299,6.397642612457275
46,2349,6.451859951019287
47,2399,6.373739242553711
48,2449,6.300325393676758
49,2499,6.427497386932373
