step,epoch,train_loss
49,0,6.3320088386535645
99,1,5.871716499328613
149,2,5.610891342163086
199,3,5.412342548370361
249,4,4.958359241485596
299,5,4.786334991455078
349,6,4.491354465484619
399,7,4.303406715393066
449,8,4.602120876312256
499,9,4.116966724395752
549,10,3.8853626251220703
599,11,3.8594231605529785
649,12,3.7468810081481934
699,13,3.903460741043091
749,14,3.713846445083618
799,15,3.6113152503967285
849,16,3.5085742473602295
899,17,3.533970594406128
949,18,3.3534657955169678
999,19,3.3346266746520996
1049,20,3.5861597061157227
1099,21,3.6392388343811035
1149,22,3.6191141605377197
1199,23,3.257993459701538
1249,24,3.428457021713257
1299,25,3.330568552017212
1349,26,3.065835475921631
1399,27,3.329331636428833
1449,28,3.253469944000244
1499,29,3.045426845550537
1549,30,3.045295476913452
1599,31,3.006124496459961
1649,32,3.1783499717712402
1699,33,2.9984290599823
1749,34,2.9389591217041016
1799,35,3.011645555496216
1849,36,3.0227224826812744
1899,37,2.887479543685913
1949,38,2.9289674758911133
1999,39,2.7658731937408447
2049,40,2.8347983360290527
2099,41,2.7210474014282227
2149,42,2.755516290664673
2199,43,2.7325494289398193
2249,44,2.702446937561035
2299,45,2.742607831954956
2349,46,2.6627960205078125
2399,47,2.6479852199554443
2449,48,2.836561918258667
2499,49,2.6488752365112305
