epoch,step,train_loss
0,49,10.510126113891602
1,99,9.429509162902832
2,149,9.262805938720703
3,199,9.083066940307617
4,249,8.970147132873535
5,299,8.862367630004883
6,349,8.797104835510254
7,399,8.653534889221191
8,449,8.638381004333496
9,499,8.415635108947754
10,549,8.323173522949219
11,599,8.274373054504395
12,649,8.210273742675781
13,699,8.47658920288086
14,749,8.412895202636719
15,799,7.98497200012207
16,849,7.894471645355225
17,899,7.930786609649658
18,949,8.056951522827148
19,999,7.836671829223633
20,1049,7.870209217071533
21,1099,7.723325252532959
22,1149,7.826714992523193
23,1199,8.090729713439941
24,1249,7.788590908050537
25,1299,7.731671333312988
26,1349,7.547659397125244
27,1399,7.597384452819824
28,1449,7.680326461791992
29,1499,7.497031211853027
30,1549,7.461668014526367
31,1599,7.410655975341797
32,1649,7.414228916168213
33,1699,7.393452167510986
34,1749,7.411734580993652
35,1799,7.411346912384033
36,1849,7.364852428436279
37,1899,7.301577568054199
38,1949,7.210678577423096
39,1999,7.579838752746582
40,2049,7.35694694519043
41,2099,7.305027484893799
42,2149,7.156485080718994
43,2199,7.177471160888672
44,2249,7.145313739776611
45,2299,7.173375129699707
46,2349,7.131557464599609
47,2399,7.1258015632629395
48,2449,7.122376918792725
49,2499,7.109603404998779
