step,train_loss,epoch
49,8.606368064880371,0
99,8.125835418701172,1
149,7.83381462097168,2
199,7.396829605102539,3
249,7.050131797790527,4
299,7.124791145324707,5
349,6.491610050201416,6
399,6.346965789794922,7
449,6.272641181945801,8
499,6.389223575592041,9
549,6.194263458251953,10
599,6.182875156402588,11
649,5.865890026092529,12
699,5.8164215087890625,13
749,5.778095245361328,14
799,5.744820594787598,15
849,5.756962299346924,16
899,5.807281970977783,17
949,5.637998104095459,18
999,5.4750800132751465,19
1049,5.41934061050415,20
1099,5.308864116668701,21
1149,5.502485275268555,22
1199,5.336555004119873,23
1249,5.298911094665527,24
1299,5.584066867828369,25
1349,5.371854782104492,26
1399,5.352871894836426,27
1449,5.1585798263549805,28
1499,5.290179252624512,29
1549,5.349349498748779,30
1599,5.097006797790527,31
1649,5.069767951965332,32
1699,5.1301493644714355,33
1749,5.100887298583984,34
1799,5.026078701019287,35
1849,5.283529281616211,36
1899,5.134527206420898,37
1949,5.0042243003845215,38
1999,4.948607444763184,39
2049,5.027435302734375,40
2099,5.111556529998779,41
2149,5.094464302062988,42
2199,5.0830206871032715,43
2249,5.246248245239258,44
2299,5.077034950256348,45
2349,5.301534652709961,46
2399,4.977331161499023,47
2449,4.942220687866211,48
2499,5.066108226776123,49
