train_loss,step,epoch
12.200224876403809,49,0
11.18823528289795,99,1
11.099956512451172,149,2
11.030570983886719,199,3
10.987321853637695,249,4
10.833514213562012,299,5
10.72651481628418,349,6
10.584500312805176,399,7
10.535256385803223,449,8
10.530396461486816,499,9
10.24889850616455,549,10
10.254408836364746,599,11
10.038215637207031,649,12
9.986446380615234,699,13
9.870158195495605,749,14
9.822205543518066,799,15
9.780917167663574,849,16
9.814092636108398,899,17
9.667596817016602,949,18
10.04245376586914,999,19
9.754426002502441,1049,20
9.884855270385742,1099,21
9.53740406036377,1149,22
9.395149230957031,1199,23
9.393978118896484,1249,24
9.343003273010254,1299,25
9.560140609741211,1349,26
9.617559432983398,1399,27
9.35559368133545,1449,28
9.578171730041504,1499,29
9.141304969787598,1549,30
9.418496131896973,1599,31
9.217876434326172,1649,32
9.18027114868164,1699,33
9.08737564086914,1749,34
9.058778762817383,1799,35
9.072455406188965,1849,36
9.097014427185059,1899,37
8.927099227905273,1949,38
9.016679763793945,1999,39
8.97586441040039,2049,40
8.861527442932129,2099,41
8.852540969848633,2149,42
8.809554100036621,2199,43
8.825410842895508,2249,44
8.765667915344238,2299,45
8.689846992492676,2349,46
9.15600872039795,2399,47
8.733366966247559,2449,48
8.834287643432617,2499,49
