train_loss,epoch,step
10.038990020751953,0,49
9.001551628112793,1,99
8.842338562011719,2,149
8.629364967346191,3,199
8.569457054138184,4,249
8.246341705322266,5,299
8.041670799255371,6,349
7.8543572425842285,7,399
7.863525867462158,8,449
7.666408061981201,9,499
7.498510837554932,10,549
7.444445610046387,11,599
7.906921863555908,12,649
7.444299697875977,13,699
7.318344593048096,14,749
7.234047889709473,15,799
7.140872955322266,16,849
7.230335712432861,17,899
7.178224086761475,18,949
7.054527759552002,19,999
6.98698616027832,20,1049
7.029965877532959,21,1099
7.03529167175293,22,1149
7.419439315795898,23,1199
7.307534217834473,24,1249
7.057894229888916,25,1299
6.7545881271362305,26,1349
6.997805118560791,27,1399
6.755050182342529,28,1449
6.994241714477539,29,1499
7.064509868621826,30,1549
6.904614448547363,31,1599
6.633712291717529,32,1649
6.753201484680176,33,1699
6.616051197052002,34,1749
6.613241195678711,35,1799
6.9264984130859375,36,1849
6.673677921295166,37,1899
6.671798229217529,38,1949
6.606506824493408,39,1999
6.513679027557373,40,2049
6.4871039390563965,41,2099
6.6577019691467285,42,2149
6.537826061248779,43,2199
6.537045955657959,44,2249
6.471076011657715,45,2299
6.526528835296631,46,2349
6.581151962280273,47,2399
6.382363796234131,48,2449
6.528186798095703,49,2499
