step,train_loss,epoch
49,8.330246925354004,0
99,7.538290977478027,1
149,7.134479522705078,2
199,6.870661735534668,3
249,6.700631141662598,4
299,6.570430755615234,5
349,6.466700553894043,6
399,6.191732406616211,7
449,6.125633716583252,8
499,6.268060207366943,9
549,6.1516618728637695,10
599,5.914882183074951,11
649,6.046989917755127,12
699,5.767236232757568,13
749,5.92542839050293,14
799,5.7678422927856445,15
849,5.533780097961426,16
899,5.594399929046631,17
949,5.539208889007568,18
999,5.4096879959106445,19
1049,5.339750289916992,20
1099,5.485674858093262,21
1149,5.463717460632324,22
1199,5.3401031494140625,23
1249,5.288609027862549,24
1299,5.311703681945801,25
1349,5.372231483459473,26
1399,5.4226579666137695,27
1449,5.201516151428223,28
1499,5.119710922241211,29
1549,5.310689926147461,30
1599,5.179027080535889,31
1649,5.112104892730713,32
1699,5.1311421394348145,33
1749,5.051370620727539,34
1799,5.218080997467041,35
1849,5.153803825378418,36
1899,5.057683944702148,37
1949,4.948925971984863,38
1999,4.904943466186523,39
2049,4.971591472625732,40
2099,5.033865451812744,41
2149,4.926466941833496,42
2199,5.016027927398682,43
2249,4.877431869506836,44
2299,4.834036350250244,45
2349,4.7877888679504395,46
2399,4.841893672943115,47
2449,4.719883441925049,48
2499,4.839197158813477,49
