epoch,train_loss,step
0,7.970373153686523,49
1,7.125619888305664,99
2,6.823615550994873,149
3,6.4571404457092285,199
4,6.1032538414001465,249
5,6.03353214263916,299
6,5.841574668884277,349
7,5.668333053588867,399
8,5.511297225952148,449
9,5.354351997375488,499
10,5.341487884521484,549
11,5.584210395812988,599
12,5.324487686157227,649
13,5.689282417297363,699
14,5.162281036376953,749
15,5.178018569946289,799
16,5.011992454528809,849
17,5.282317638397217,899
18,5.193758010864258,949
19,5.151609420776367,999
20,4.931783676147461,1049
21,4.83129358291626,1099
22,4.897895812988281,1149
23,4.769314765930176,1199
24,4.874469757080078,1249
25,4.714066028594971,1299
26,4.754249095916748,1349
27,4.79747200012207,1399
28,4.74034309387207,1449
29,5.048013210296631,1499
30,4.722970485687256,1549
31,4.5821123123168945,1599
32,4.586686611175537,1649
33,4.605325698852539,1699
34,4.535220623016357,1749
35,4.459702968597412,1799
36,4.534010887145996,1849
37,4.632601261138916,1899
38,4.42085075378418,1949
39,4.5018815994262695,1999
40,4.403304100036621,2049
41,4.548014163970947,2099
42,4.503262042999268,2149
43,4.37864875793457,2199
44,4.278188705444336,2249
45,4.4347333908081055,2299
46,4.325369358062744,2349
47,4.301304817199707,2399
48,4.257480144500732,2449
49,4.225697994232178,2499
