step,train_loss,epoch
49,8.344891548156738,0
99,7.442742824554443,1
149,7.3304595947265625,2
199,6.8286871910095215,3
249,6.518223285675049,4
299,6.419858932495117,5
349,6.232900619506836,6
399,6.124763011932373,7
449,6.503643035888672,8
499,6.203087329864502,9
549,6.029263496398926,10
599,5.9764227867126465,11
649,5.812361240386963,12
699,5.763477802276611,13
749,5.709248065948486,14
799,5.589148998260498,15
849,6.036599159240723,16
899,5.816761016845703,17
949,5.854783535003662,18
999,5.425503730773926,19
1049,5.600160598754883,20
1099,5.835179328918457,21
1149,5.45736026763916,22
1199,5.506592273712158,23
1249,5.5756072998046875,24
1299,5.378044605255127,25
1349,5.343479156494141,26
1399,5.360336780548096,27
1449,5.227221488952637,28
1499,5.31390380859375,29
1549,5.209862232208252,30
1599,5.146505355834961,31
1649,5.189891815185547,32
1699,5.058951377868652,33
1749,5.396996021270752,34
1799,5.266866683959961,35
1849,5.163583755493164,36
1899,5.1394362449646,37
1949,5.012030124664307,38
1999,5.068759441375732,39
2049,5.002094745635986,40
2099,4.924442291259766,41
2149,4.971776485443115,42
2199,5.117325305938721,43
2249,4.841297626495361,44
2299,5.007823944091797,45
2349,5.105710029602051,46
2399,5.275457382202148,47
2449,4.981517314910889,48
2499,4.831714630126953,49
