step,train_loss,epoch
49,10.942056655883789,0
99,9.949813842773438,1
149,9.885376930236816,2
199,9.784501075744629,3
249,9.626945495605469,4
299,9.47315788269043,5
349,9.324339866638184,6
399,9.173052787780762,7
449,9.038783073425293,8
499,8.876714706420898,9
549,8.991281509399414,10
599,8.767284393310547,11
649,8.663620948791504,12
699,8.69894790649414,13
749,8.748481750488281,14
799,8.496316909790039,15
849,8.402913093566895,16
899,8.412176132202148,17
949,8.332633972167969,18
999,8.06197738647461,19
1049,8.732940673828125,20
1099,8.25854206085205,21
1149,8.081890106201172,22
1199,8.1113862991333,23
1249,7.995162487030029,24
1299,7.882014751434326,25
1349,7.829450607299805,26
1399,7.841651439666748,27
1449,7.897866249084473,28
1499,7.764530658721924,29
1549,7.655440807342529,30
1599,7.730355739593506,31
1649,7.818008899688721,32
1699,7.761542797088623,33
1749,7.613739013671875,34
1799,7.5704522132873535,35
1849,8.016606330871582,36
1899,7.591064453125,37
1949,7.544729709625244,38
1999,7.544903755187988,39
2049,7.53017520904541,40
2099,7.477341175079346,41
2149,7.449304580688477,42
2199,7.619058132171631,43
2249,7.42364501953125,44
2299,7.335690498352051,45
2349,7.358893394470215,46
2399,7.377996444702148,47
2449,7.413092613220215,48
2499,7.3141374588012695,49
