train_loss,step,epoch
10.636066436767578,49,0
9.67785358428955,99,1
9.637348175048828,149,2
9.551568031311035,199,3
9.485074043273926,249,4
9.376742362976074,299,5
9.132301330566406,349,6
8.928664207458496,399,7
8.899432182312012,449,8
8.903735160827637,499,9
8.637862205505371,549,10
8.576499938964844,599,11
8.594819068908691,649,12
8.573566436767578,699,13
8.484292984008789,749,14
8.373340606689453,799,15
8.456592559814453,849,16
8.193744659423828,899,17
8.113709449768066,949,18
8.068306922912598,999,19
7.993178844451904,1049,20
7.9316911697387695,1099,21
8.122154235839844,1149,22
8.15688705444336,1199,23
8.000876426696777,1249,24
8.096832275390625,1299,25
7.888057231903076,1349,26
7.9097161293029785,1399,27
7.879387855529785,1449,28
7.8185038566589355,1499,29
7.709666728973389,1549,30
7.662264347076416,1599,31
7.710332870483398,1649,32
7.880877494812012,1699,33
7.6804680824279785,1749,34
7.694833278656006,1799,35
7.5373406410217285,1849,36
7.658390522003174,1899,37
7.55282735824585,1949,38
7.4761223793029785,1999,39
7.5848565101623535,2049,40
7.854919910430908,2099,41
7.373270034790039,2149,42
7.496501922607422,2199,43
7.340308666229248,2249,44
7.450599193572998,2299,45
7.403747081756592,2349,46
7.664524555206299,2399,47
7.332526683807373,2449,48
7.322422504425049,2499,49
