epoch,step,train_loss
0,49,11.330761909484863
1,99,10.416494369506836
2,149,10.354394912719727
3,199,10.286160469055176
4,249,10.187701225280762
5,299,10.012367248535156
6,349,10.060528755187988
7,399,10.098407745361328
8,449,9.902997016906738
9,499,9.643880844116211
10,549,9.549181938171387
11,599,9.477611541748047
12,649,9.321532249450684
13,699,9.46304702758789
14,749,9.197742462158203
15,799,9.165999412536621
16,849,9.136933326721191
17,899,9.034806251525879
18,949,8.86734390258789
19,999,8.855058670043945
20,1049,8.80544376373291
21,1099,9.312117576599121
22,1149,8.697835922241211
23,1199,8.657146453857422
24,1249,8.603179931640625
25,1299,8.664015769958496
26,1349,8.530591011047363
27,1399,8.493967056274414
28,1449,8.50224494934082
29,1499,8.471715927124023
30,1549,8.566994667053223
31,1599,8.579620361328125
32,1649,8.527050018310547
33,1699,8.390756607055664
34,1749,8.288403511047363
35,1799,8.258316040039062
36,1849,8.23027515411377
37,1899,8.24050521850586
38,1949,8.371999740600586
39,1999,8.134188652038574
40,2049,8.211274147033691
41,2099,8.091086387634277
42,2149,8.130855560302734
43,2199,8.032761573791504
44,2249,8.127593040466309
45,2299,8.075418472290039
46,2349,8.135738372802734
