train_loss,epoch,step
10.18154525756836,0,49
9.281656265258789,1,99
9.109593391418457,2,149
8.903560638427734,3,199
9.039023399353027,4,249
8.653887748718262,5,299
8.394042015075684,6,349
8.494487762451172,7,399
8.297804832458496,8,449
8.08218765258789,9,499
8.707128524780273,10,549
8.319087982177734,11,599
8.015109062194824,12,649
8.016550064086914,13,699
7.879666805267334,14,749
7.7631659507751465,15,799
7.8053202629089355,16,849
7.6309428215026855,17,899
7.772430419921875,18,949
7.686558246612549,19,999
7.652059555053711,20,1049
7.524084568023682,21,1099
7.415330410003662,22,1149
7.333996772766113,23,1199
7.351690292358398,24,1249
7.345495700836182,25,1299
7.25477409362793,26,1349
7.3140740394592285,27,1399
7.3341383934021,28,1449
7.283839702606201,29,1499
7.09822940826416,30,1549
7.113084316253662,31,1599
7.170785903930664,32,1649
7.1765570640563965,33,1699
7.173402786254883,34,1749
7.1200737953186035,35,1799
7.008035182952881,36,1849
7.0646491050720215,37,1899
7.086414813995361,38,1949
7.1617655754089355,39,1999
7.112197399139404,40,2049
7.019746780395508,41,2099
7.252251625061035,42,2149
7.016417980194092,43,2199
7.116417407989502,44,2249
6.887916088104248,45,2299
6.962164878845215,46,2349
7.017480373382568,47,2399
6.769920825958252,48,2449
6.824322700500488,49,2499
