step,train_loss,epoch
49,12.615917205810547,0
99,11.832298278808594,1
149,11.649770736694336,2
199,11.524402618408203,3
249,11.3947114944458,4
299,11.468122482299805,5
349,11.18058967590332,6
399,11.053374290466309,7
449,11.200387954711914,8
499,10.830177307128906,9
549,10.809823036193848,10
599,11.014225006103516,11
649,10.644414901733398,12
699,10.589622497558594,13
749,10.549456596374512,14
799,10.447440147399902,15
849,10.691686630249023,16
899,10.235466003417969,17
949,10.37682819366455,18
999,10.455902099609375,19
1049,10.424160957336426,20
1099,10.068988800048828,21
1149,10.033707618713379,22
1199,10.130616188049316,23
1249,10.37387466430664,24
1299,10.172186851501465,25
1349,10.250690460205078,26
1399,10.391321182250977,27
1449,10.004866600036621,28
1499,9.912773132324219,29
1549,9.83208179473877,30
1599,9.676925659179688,31
1649,9.785967826843262,32
1699,9.636584281921387,33
1749,9.526644706726074,34
1799,9.641481399536133,35
1849,9.495918273925781,36
1899,9.411567687988281,37
1949,10.085973739624023,38
1999,9.636466979980469,39
2049,9.691597938537598,40
2099,9.363186836242676,41
2149,9.388130187988281,42
2199,9.304609298706055,43
2249,9.359389305114746,44
2299,9.208891868591309,45
2349,9.35063648223877,46
2399,9.248512268066406,47
2449,9.243232727050781,48
2499,9.129015922546387,49
