epoch,train_loss,step
0,8.208405494689941,49
1,7.363275051116943,99
2,7.273418426513672,149
3,7.0806732177734375,199
4,6.7614946365356445,249
5,6.679059028625488,299
6,6.4106855392456055,349
7,6.1691412925720215,399
8,6.21083927154541,449
9,5.95445442199707,499
10,5.920381546020508,549
11,6.269594192504883,599
12,5.757777690887451,649
13,5.728384017944336,699
14,5.584672927856445,749
15,5.839130878448486,799
16,5.643349647521973,849
17,5.469712734222412,899
18,5.53093147277832,949
19,5.351290225982666,999
20,5.525187969207764,1049
21,5.29638671875,1099
22,5.396284103393555,1149
23,5.601324081420898,1199
24,5.4287567138671875,1249
25,5.277556896209717,1299
26,5.29659366607666,1349
27,5.104435920715332,1399
28,5.1321916580200195,1449
29,5.096277236938477,1499
30,5.032124996185303,1549
31,4.985363006591797,1599
32,5.011531829833984,1649
33,5.018171310424805,1699
34,5.2843499183654785,1749
35,4.98210334777832,1799
36,4.903093338012695,1849
37,4.922494411468506,1899
38,4.853710174560547,1949
39,4.803239345550537,1999
40,4.875314712524414,2049
41,4.7856855392456055,2099
42,4.806412220001221,2149
43,4.816882133483887,2199
44,4.746713161468506,2249
45,4.706790924072266,2299
46,4.679741382598877,2349
47,4.671717643737793,2399
48,4.6512041091918945,2449
49,4.809872627258301,2499
