epoch,train_loss,step
0,11.728371620178223,49
1,10.942818641662598,99
2,10.847180366516113,149
3,10.738205909729004,199
4,10.627641677856445,249
5,10.516593933105469,299
6,10.45283317565918,349
7,10.45980453491211,399
8,10.334307670593262,449
9,10.258975982666016,499
10,10.315790176391602,549
11,10.060842514038086,599
12,9.840076446533203,649
13,9.890276908874512,699
14,9.70815658569336,749
15,9.623013496398926,799
16,9.68905258178711,849
17,9.810403823852539,899
18,9.688766479492188,949
19,9.552753448486328,999
20,9.410860061645508,1049
21,9.296878814697266,1099
22,9.257506370544434,1149
23,9.172935485839844,1199
24,9.18932056427002,1249
25,9.115229606628418,1299
26,9.156296730041504,1349
27,9.16431713104248,1399
28,9.00866985321045,1449
29,8.958377838134766,1499
30,9.287769317626953,1549
31,8.93278694152832,1599
32,8.885405540466309,1649
33,8.878047943115234,1699
34,8.897491455078125,1749
35,8.851513862609863,1799
36,8.770357131958008,1849
37,8.734752655029297,1899
38,8.77709674835205,1949
39,8.650616645812988,1999
40,8.691601753234863,2049
41,8.662871360778809,2099
42,8.746052742004395,2149
43,8.633376121520996,2199
44,8.576678276062012,2249
45,8.687768936157227,2299
46,8.615106582641602,2349
47,8.80904483795166,2399
48,8.694250106811523,2449
49,8.526103019714355,2499
