epoch,train_loss,step
0,11.09338665008545,49
1,10.071650505065918,99
2,9.887577056884766,149
3,9.7714262008667,199
4,9.588902473449707,249
5,9.440566062927246,299
6,9.459639549255371,349
7,9.270832061767578,399
8,9.096641540527344,449
9,9.093792915344238,499
10,8.934682846069336,549
11,8.85778522491455,599
12,9.3137845993042,649
13,8.773615837097168,699
14,8.88896369934082,749
15,8.713406562805176,799
16,8.5923433303833,849
17,8.495160102844238,899
18,8.373871803283691,949
19,8.529722213745117,999
20,8.312134742736816,1049
21,8.256858825683594,1099
22,8.172552108764648,1149
23,8.347757339477539,1199
24,8.195054054260254,1249
25,8.138327598571777,1299
26,8.05923080444336,1349
27,8.243395805358887,1399
28,8.084757804870605,1449
29,7.985612869262695,1499
30,8.467899322509766,1549
31,8.031582832336426,1599
32,8.060761451721191,1649
33,7.872323513031006,1699
34,7.8642168045043945,1749
35,7.818604946136475,1799
36,7.818000316619873,1849
37,7.709188938140869,1899
38,7.774599075317383,1949
39,7.683435440063477,1999
40,7.909011363983154,2049
41,7.735231399536133,2099
42,7.772401332855225,2149
43,7.6372575759887695,2199
44,7.623961925506592,2249
45,7.548548698425293,2299
46,7.684127330780029,2349
47,7.692224025726318,2399
48,7.58881950378418,2449
49,7.554267406463623,2499
