step,epoch,train_loss
49,0,8.599401473999023
99,1,7.564082145690918
149,2,7.39703369140625
199,3,7.215635776519775
249,4,7.014572620391846
299,5,7.035725116729736
349,6,6.720770835876465
399,7,6.854862213134766
449,8,6.87150764465332
499,9,6.560769557952881
549,10,6.594910144805908
599,11,6.295176982879639
649,12,6.183216571807861
699,13,6.099903106689453
749,14,6.122689723968506
799,15,5.9749755859375
849,16,5.932348251342773
899,17,5.839352607727051
949,18,5.775996208190918
999,19,5.759710788726807
1049,20,5.910622596740723
1099,21,5.706918716430664
1149,22,5.667301177978516
1199,23,5.634240627288818
1249,24,5.700282096862793
1299,25,5.475625038146973
1349,26,5.511030673980713
1399,27,5.508307456970215
1449,28,5.437325477600098
1499,29,5.696622371673584
1549,30,5.419307708740234
1599,31,5.456911087036133
1649,32,5.429358005523682
1699,33,5.560122489929199
1749,34,5.262660026550293
1799,35,5.346263408660889
1849,36,5.315314292907715
1899,37,5.228387832641602
1949,38,5.183753490447998
1999,39,5.261258125305176
2049,40,5.161736965179443
2099,41,5.761969089508057
2149,42,5.4593682289123535
2199,43,5.4712138175964355
2249,44,5.18358039855957
2299,45,5.198972702026367
2349,46,5.1461710929870605
2399,47,5.187681674957275
2449,48,5.217065334320068
2499,49,5.139044761657715
