epoch,train_loss,step
0,11.324838638305664,49
1,10.485230445861816,99
2,10.377466201782227,149
3,10.250192642211914,199
4,10.218801498413086,249
5,10.04605770111084,299
6,10.029779434204102,349
7,10.565542221069336,399
8,9.885604858398438,449
9,9.758596420288086,499
10,10.166760444641113,549
11,9.963356018066406,599
12,9.594191551208496,649
13,9.407325744628906,699
14,9.324020385742188,749
15,9.348603248596191,799
16,9.375887870788574,849
17,9.228082656860352,899
18,9.401118278503418,949
19,9.100564002990723,999
20,9.021602630615234,1049
21,8.923996925354004,1099
22,8.808404922485352,1149
23,8.903997421264648,1199
24,8.81782341003418,1249
25,8.844686508178711,1299
26,8.741724014282227,1349
27,8.663922309875488,1399
28,8.775452613830566,1449
29,8.601652145385742,1499
30,8.54784870147705,1549
31,8.523874282836914,1599
32,8.493528366088867,1649
33,8.439970970153809,1699
34,8.41382122039795,1749
35,8.594633102416992,1799
36,8.4736909866333,1849
37,8.358565330505371,1899
38,8.480294227600098,1949
39,8.335082054138184,1999
40,8.288581848144531,2049
41,8.312185287475586,2099
42,8.567956924438477,2149
43,8.350382804870605,2199
44,8.436803817749023,2249
45,8.302491188049316,2299
46,8.333645820617676,2349
47,8.173704147338867,2399
48,8.153935432434082,2449
49,8.29722785949707,2499
