epoch,train_loss,step
0,9.725909233093262,49
1,8.830663681030273,99
2,8.746572494506836,149
3,8.568607330322266,199
4,8.421344757080078,249
5,8.375504493713379,299
6,8.198677062988281,349
7,7.9905829429626465,399
8,7.888705253601074,449
9,7.752640247344971,499
10,7.639524459838867,549
11,7.584483623504639,599
12,7.747272491455078,649
13,7.7915778160095215,699
14,7.440464019775391,749
15,7.193363666534424,799
16,7.315347194671631,849
17,7.205607891082764,899
18,7.167962551116943,949
19,7.04838752746582,999
20,7.210208892822266,1049
21,7.079781532287598,1099
22,6.900815010070801,1149
23,6.864397048950195,1199
24,6.902322769165039,1249
25,7.3644819259643555,1299
26,6.8684983253479,1349
27,6.77592658996582,1399
28,6.962363243103027,1449
29,6.979322910308838,1499
30,6.60317850112915,1549
31,6.595219612121582,1599
32,6.561287879943848,1649
33,6.652572154998779,1699
34,6.5691938400268555,1749
35,6.5055718421936035,1799
36,6.613217353820801,1849
37,6.719973087310791,1899
38,6.671475887298584,1949
39,6.421930313110352,1999
40,6.5575175285339355,2049
41,6.4505295753479,2099
42,6.370265483856201,2149
43,6.362780570983887,2199
44,6.334075450897217,2249
45,6.362698554992676,2299
46,6.290379524230957,2349
47,6.299108505249023,2399
48,6.199253559112549,2449
49,6.330013275146484,2499
