step,train_loss,epoch
49,10.988067626953125,0
99,10.323921203613281,1
149,10.207442283630371,2
199,9.964472770690918,3
249,9.695579528808594,4
299,9.654480934143066,5
349,9.272603988647461,6
399,9.134888648986816,7
449,9.251683235168457,8
499,8.992834091186523,9
549,8.88946533203125,10
599,8.722103118896484,11
649,8.665633201599121,12
699,8.540399551391602,13
749,8.426226615905762,14
799,8.323375701904297,15
849,8.221951484680176,16
899,8.185894012451172,17
949,8.093249320983887,18
999,8.761496543884277,19
1049,8.16431999206543,20
1099,8.103011131286621,21
1149,7.991540431976318,22
1199,8.017918586730957,23
1249,7.8514084815979,24
1299,7.804784774780273,25
1349,8.10097599029541,26
1399,7.849326133728027,27
1449,7.935202121734619,28
1499,7.771978855133057,29
1549,7.720559120178223,30
1599,7.619546890258789,31
1649,7.624210357666016,32
1699,7.618282318115234,33
1749,7.59922981262207,34
1799,7.583281993865967,35
1849,7.6771345138549805,36
1899,7.540797233581543,37
1949,7.728862762451172,38
1999,7.548072338104248,39
2049,7.45333194732666,40
2099,7.4857258796691895,41
2149,7.858371734619141,42
2199,7.778934955596924,43
2249,7.425523281097412,44
2299,7.434487819671631,45
2349,8.04275131225586,46
2399,7.407263278961182,47
2449,7.371850967407227,48
2499,7.3395562171936035,49
