epoch,train_loss,step
0,10.576854705810547,49
1,9.688926696777344,99
2,9.616195678710938,149
3,9.542510032653809,199
4,9.515920639038086,249
5,9.397266387939453,299
6,9.192004203796387,349
7,9.0875883102417,399
8,9.038660049438477,449
9,8.879312515258789,499
10,8.675182342529297,549
11,9.093903541564941,599
12,8.960495948791504,649
13,8.666731834411621,699
14,8.494291305541992,749
15,8.314667701721191,799
16,8.268928527832031,849
17,8.189590454101562,899
18,8.212172508239746,949
19,8.162046432495117,999
20,8.047065734863281,1049
21,8.022828102111816,1099
22,7.938716888427734,1149
23,8.071562767028809,1199
24,8.207873344421387,1249
25,7.853488922119141,1299
26,7.854947090148926,1349
27,7.773809909820557,1399
28,7.840696334838867,1449
29,7.718252658843994,1499
30,7.8023576736450195,1549
31,7.895921230316162,1599
32,7.748152256011963,1649
33,7.643914222717285,1699
34,7.83372688293457,1749
35,7.55410623550415,1799
36,7.512296199798584,1849
37,7.72645378112793,1899
38,7.639496326446533,1949
39,7.637678146362305,1999
40,7.457148551940918,2049
41,7.4567670822143555,2099
42,7.49690055847168,2149
43,7.741485118865967,2199
44,7.390957832336426,2249
45,7.333195209503174,2299
46,7.341256618499756,2349
47,7.543610095977783,2399
48,7.25742244720459,2449
49,7.357531547546387,2499
