step,train_loss,epoch
49,11.052587509155273,0
99,10.033239364624023,1
149,9.669748306274414,2
199,9.568399429321289,3
249,9.43248462677002,4
299,9.330188751220703,5
349,9.149428367614746,6
399,9.00637435913086,7
449,8.979808807373047,8
499,8.812695503234863,9
549,9.079212188720703,10
599,8.468010902404785,11
649,8.449551582336426,12
699,8.334432601928711,13
749,8.274801254272461,14
799,8.154150009155273,15
849,8.147427558898926,16
899,8.155373573303223,17
949,8.094109535217285,18
999,7.89803409576416,19
1049,7.826251983642578,20
1099,7.757930278778076,21
1149,7.740316867828369,22
1199,7.701679706573486,23
1249,7.913281440734863,24
1299,7.826537609100342,25
1349,7.991645336151123,26
1399,7.66488790512085,27
1449,7.561575889587402,28
1499,7.487128257751465,29
1549,7.487594127655029,30
1599,7.463095188140869,31
1649,7.588146209716797,32
1699,7.377713203430176,33
1749,7.351063251495361,34
1799,7.287456035614014,35
1849,7.265826225280762,36
1899,7.289035797119141,37
1949,7.307517051696777,38
1999,7.228884220123291,39
2049,7.2410149574279785,40
2099,7.256964206695557,41
2149,7.198092460632324,42
2199,7.192291259765625,43
2249,7.169189929962158,44
2299,7.157767295837402,45
2349,7.087421417236328,46
2399,7.068538188934326,47
2449,7.0721893310546875,48
2499,7.055265426635742,49
