step,epoch,train_loss
49,0,11.407958984375
99,1,10.409262657165527
149,2,10.35447883605957
199,3,10.273711204528809
249,4,10.167754173278809
299,5,10.019657135009766
349,6,9.972494125366211
399,7,9.761486053466797
449,8,9.717508316040039
499,9,9.551726341247559
549,10,9.447328567504883
599,11,9.423338890075684
649,12,9.320991516113281
699,13,9.088286399841309
749,14,9.21691608428955
799,15,9.155069351196289
849,16,9.103472709655762
899,17,8.948211669921875
949,18,8.907663345336914
999,19,8.81865119934082
1049,20,8.743709564208984
1099,21,8.622492790222168
1149,22,8.714822769165039
1199,23,8.603265762329102
1249,24,8.502029418945312
1299,25,8.462735176086426
1349,26,8.413891792297363
1399,27,8.495144844055176
1449,28,8.477924346923828
1499,29,8.65932846069336
1549,30,8.565947532653809
1599,31,8.288965225219727
1649,32,8.32787799835205
1699,33,8.510979652404785
1749,34,8.218891143798828
1799,35,8.439776420593262
1849,36,8.242294311523438
1899,37,8.749388694763184
1949,38,8.395276069641113
1999,39,8.330527305603027
2049,40,8.440289497375488
2099,41,8.110275268554688
2149,42,8.059447288513184
2199,43,8.048711776733398
2249,44,8.110879898071289
2299,45,8.143272399902344
2349,46,7.91336727142334
2399,47,8.143006324768066
2449,48,8.004639625549316
2499,49,7.841655731201172
