epoch,step,train_loss
0,49,6.492610454559326
1,99,6.000545024871826
2,149,5.690519332885742
3,199,5.160711288452148
4,249,5.008728981018066
5,299,4.88527774810791
6,349,4.426942825317383
7,399,4.280603885650635
8,449,4.081280708312988
9,499,4.065420150756836
10,549,4.011458873748779
11,599,3.9903042316436768
12,649,3.7606070041656494
13,699,3.682202100753784
14,749,3.7109365463256836
15,799,3.7809500694274902
16,849,3.8636693954467773
17,899,3.6445248126983643
18,949,3.439176559448242
19,999,3.5896501541137695
20,1049,3.714519739151001
21,1099,3.585017204284668
22,1149,3.3925702571868896
23,1199,3.28472900390625
24,1249,3.3512182235717773
25,1299,3.2555553913116455
26,1349,3.1755564212799072
27,1399,3.189863920211792
28,1449,3.185297966003418
29,1499,3.157933235168457
