epoch,step,train_loss
0,49,11.004499435424805
1,99,10.034680366516113
2,149,9.957481384277344
3,199,9.947257041931152
4,249,9.844985008239746
5,299,9.818490982055664
6,349,9.594561576843262
7,399,9.53293228149414
8,449,9.437308311462402
9,499,9.408541679382324
10,549,9.312298774719238
11,599,9.050339698791504
12,649,8.857098579406738
13,699,8.837078094482422
14,749,8.890412330627441
15,799,8.732780456542969
16,849,8.622119903564453
17,899,8.69519329071045
18,949,8.523394584655762
19,999,8.878426551818848
20,1049,8.423016548156738
21,1099,8.463342666625977
22,1149,8.495135307312012
23,1199,8.401693344116211
24,1249,8.380975723266602
25,1299,8.281421661376953
26,1349,8.201648712158203
27,1399,8.281547546386719
28,1449,8.522398948669434
29,1499,8.147732734680176
30,1549,8.111491203308105
31,1599,8.062100410461426
32,1649,8.00997543334961
33,1699,8.011466979980469
34,1749,7.961905479431152
35,1799,8.00420093536377
36,1849,7.981695652008057
37,1899,7.9229021072387695
38,1949,7.946262836456299
39,1999,7.87109375
40,2049,8.033988952636719
41,2099,7.926599025726318
42,2149,7.779300689697266
43,2199,7.820433139801025
44,2249,7.7568278312683105
45,2299,7.884191989898682
46,2349,7.730660915374756
47,2399,7.728588104248047
48,2449,7.992176055908203
49,2499,7.749417304992676
