epoch,train_loss,step
0,9.10555362701416,49
1,8.050917625427246,99
2,7.9621477127075195,149
3,7.722586631774902,199
4,7.625270366668701,249
5,7.439267158508301,299
6,7.527812480926514,349
7,7.391674041748047,399
8,7.4562458992004395,449
9,7.095808506011963,499
10,6.941029071807861,549
11,6.813559055328369,599
12,6.950864315032959,649
13,6.760660171508789,699
14,6.641883373260498,749
15,6.736154079437256,799
16,6.716619968414307,849
17,6.596893787384033,899
18,6.778955459594727,949
19,6.433135986328125,999
20,6.350419998168945,1049
21,6.291386127471924,1099
22,6.308589458465576,1149
23,6.337696552276611,1199
24,6.256483554840088,1249
25,6.235382080078125,1299
26,6.119382381439209,1349
27,6.544069290161133,1399
28,6.36190128326416,1449
29,6.401834011077881,1499
30,6.087018966674805,1549
31,6.12898063659668,1599
32,6.02230978012085,1649
33,5.990412712097168,1699
34,6.136539459228516,1749
35,5.929811477661133,1799
36,5.866847038269043,1849
37,5.8432111740112305,1899
38,6.019215106964111,1949
39,6.023308753967285,1999
40,5.808101654052734,2049
41,5.952760219573975,2099
42,5.764822483062744,2149
43,6.043923377990723,2199
44,5.869158744812012,2249
45,5.717290878295898,2299
46,5.822344779968262,2349
47,5.829953193664551,2399
48,5.666475772857666,2449
49,5.842335224151611,2499
