epoch,step,train_loss
0,49,10.974061012268066
1,99,10.184778213500977
2,149,10.09201431274414
3,199,9.99801254272461
4,249,9.876742362976074
5,299,9.685018539428711
6,349,9.501681327819824
7,399,9.244192123413086
8,449,9.230558395385742
9,499,8.919137954711914
10,549,8.851455688476562
11,599,8.917455673217773
12,649,8.693243026733398
13,699,8.514557838439941
14,749,8.546340942382812
15,799,8.528738975524902
16,849,8.51609992980957
17,899,8.82382583618164
18,949,8.242764472961426
19,999,8.200758934020996
20,1049,8.171902656555176
21,1099,8.081421852111816
22,1149,8.089007377624512
23,1199,7.96835994720459
24,1249,8.243428230285645
25,1299,8.04153823852539
26,1349,8.035492897033691
27,1399,7.964810848236084
28,1449,7.904585361480713
29,1499,8.09346866607666
30,1549,7.943633556365967
31,1599,8.381124496459961
32,1649,8.028507232666016
33,1699,7.772613525390625
34,1749,7.923771381378174
35,1799,7.644524097442627
36,1849,7.756230354309082
37,1899,7.598828315734863
38,1949,8.518933296203613
39,1999,7.680805206298828
40,2049,7.53213357925415
41,2099,7.593918323516846
42,2149,7.514347076416016
43,2199,7.667234897613525
44,2249,7.680232524871826
45,2299,7.571341037750244
46,2349,7.5257463455200195
47,2399,7.483160972595215
48,2449,7.433713912963867
49,2499,7.553698539733887
