step,train_loss,epoch
49,11.24349594116211,0
99,10.388450622558594,1
149,10.218815803527832,2
199,10.081995964050293,3
249,10.005626678466797,4
299,10.001473426818848,5
349,9.920062065124512,6
399,9.536482810974121,7
449,9.354554176330566,8
499,9.378647804260254,9
549,9.075443267822266,10
599,8.932263374328613,11
649,8.853850364685059,12
699,8.773699760437012,13
749,8.80323600769043,14
799,8.747598648071289,15
849,8.602723121643066,16
899,8.503299713134766,17
949,8.526457786560059,18
999,8.460312843322754,19
1049,8.641549110412598,20
1099,8.545713424682617,21
1149,8.709087371826172,22
1199,8.438209533691406,23
1249,8.128883361816406,24
1299,8.02103042602539,25
1349,8.01974105834961,26
1399,8.075345039367676,27
1449,8.052620887756348,28
1499,7.911027908325195,29
1549,7.808962345123291,30
1599,7.975567817687988,31
1649,7.874385833740234,32
1699,7.966804027557373,33
1749,8.01931095123291,34
1799,7.849848747253418,35
1849,7.668285369873047,36
1899,7.658494472503662,37
1949,7.641495227813721,38
1999,7.682406425476074,39
2049,7.635970592498779,40
2099,7.8066630363464355,41
2149,7.594482421875,42
2199,7.631701469421387,43
2249,7.620233058929443,44
2299,7.474979877471924,45
2349,7.473608016967773,46
2399,7.487411975860596,47
2449,7.583559513092041,48
2499,7.460003852844238,49
