step,epoch,train_loss
49,0,7.3212714195251465
99,1,6.578258514404297
149,2,6.4323296546936035
199,3,6.252786159515381
249,4,5.998483657836914
299,5,5.751701831817627
349,6,5.467845439910889
399,7,5.524308681488037
449,8,5.410585403442383
499,9,5.089578151702881
549,10,5.000824451446533
599,11,4.860666751861572
649,12,5.0069804191589355
699,13,4.832974433898926
749,14,4.641676902770996
799,15,4.6193366050720215
849,16,4.799741744995117
899,17,4.905059337615967
949,18,4.5069169998168945
999,19,4.469494819641113
1049,20,4.383964538574219
1099,21,4.329427719116211
1149,22,4.335391044616699
1199,23,4.296085357666016
1249,24,4.20088005065918
1299,25,4.3144145011901855
1349,26,4.385092258453369
1399,27,4.215559005737305
1449,28,4.179961681365967
1499,29,4.132275104522705
1549,30,4.091543197631836
1599,31,4.203700065612793
1649,32,4.034745693206787
1699,33,4.084413051605225
1749,34,3.946760892868042
1799,35,3.9752392768859863
1849,36,3.8916263580322266
1899,37,4.006807804107666
1949,38,4.111348628997803
1999,39,3.9439046382904053
2049,40,3.9401543140411377
2099,41,3.8533661365509033
2149,42,3.981044054031372
2199,43,3.861192226409912
2249,44,3.7898340225219727
2299,45,3.719557523727417
2349,46,3.9506642818450928
2399,47,3.991563320159912
2449,48,3.8769540786743164
2499,49,3.718308687210083
