epoch,train_loss,step
0,13.241345405578613,49
1,12.348912239074707,99
2,12.22215461730957,149
3,12.324573516845703,199
4,11.928849220275879,249
5,11.889483451843262,299
6,11.571860313415527,349
7,11.444620132446289,399
8,11.117344856262207,449
9,11.432592391967773,499
10,11.013193130493164,549
11,10.867998123168945,599
12,10.675749778747559,649
13,10.600242614746094,699
14,10.508687973022461,749
15,10.39961051940918,799
16,10.436443328857422,849
17,10.316856384277344,899
18,10.321407318115234,949
19,10.290645599365234,999
20,10.265595436096191,1049
21,10.352320671081543,1099
22,10.58706283569336,1149
23,10.900677680969238,1199
24,10.227461814880371,1249
25,10.022296905517578,1299
26,9.968886375427246,1349
27,10.023773193359375,1399
28,9.972304344177246,1449
29,9.956286430358887,1499
30,10.098007202148438,1549
31,9.941712379455566,1599
32,10.197517395019531,1649
33,9.908750534057617,1699
34,9.959883689880371,1749
35,9.857513427734375,1799
36,9.981012344360352,1849
37,9.726189613342285,1899
38,9.709178924560547,1949
39,9.663683891296387,1999
40,9.675291061401367,2049
41,9.746673583984375,2099
42,9.630171775817871,2149
43,9.572261810302734,2199
44,9.610686302185059,2249
45,9.791341781616211,2299
46,9.646044731140137,2349
47,9.607196807861328,2399
48,9.528890609741211,2449
49,9.596220016479492,2499
