step,train_loss,epoch
49,10.587329864501953,0
99,9.813265800476074,1
149,9.535737037658691,2
199,9.447299003601074,3
249,9.279855728149414,4
299,9.035284996032715,5
349,9.070511817932129,6
399,8.801307678222656,7
449,8.57253646850586,8
499,8.449773788452148,9
549,8.280860900878906,10
599,8.075623512268066,11
649,7.959186553955078,12
699,8.012346267700195,13
749,7.924685478210449,14
799,7.894250869750977,15
849,7.815893173217773,16
899,7.620769023895264,17
949,7.888608455657959,18
999,7.777587413787842,19
1049,7.55133056640625,20
1099,7.508237361907959,21
1149,7.858563423156738,22
1199,7.762671947479248,23
1249,7.398227691650391,24
1299,7.360782623291016,25
1349,7.293057918548584,26
1399,7.353568077087402,27
1449,7.6418986320495605,28
1499,7.515145778656006,29
1549,7.412175178527832,30
1599,7.178502082824707,31
1649,7.146861553192139,32
1699,7.234035491943359,33
1749,7.135476112365723,34
1799,7.4041748046875,35
1849,7.071168422698975,36
1899,7.144329071044922,37
1949,7.032638072967529,38
1999,7.035427093505859,39
2049,7.029682636260986,40
2099,6.935275077819824,41
2149,6.919475078582764,42
2199,7.3597941398620605,43
2249,7.236602306365967,44
2299,7.057216644287109,45
2349,6.824527740478516,46
2399,6.973757266998291,47
2449,6.867921352386475,48
2499,6.8379058837890625,49
