step,train_loss,epoch
49,11.533117294311523,0
99,10.756190299987793,1
149,10.607451438903809,2
199,10.570145606994629,3
249,10.349287033081055,4
299,10.398272514343262,5
349,10.355400085449219,6
399,10.011993408203125,7
449,10.078993797302246,8
499,9.964871406555176,9
549,9.909658432006836,10
599,9.60456657409668,11
649,9.695256233215332,12
699,9.621192932128906,13
749,9.365007400512695,14
799,9.543375015258789,15
849,9.396663665771484,16
899,9.342416763305664,17
949,9.337052345275879,18
999,9.098686218261719,19
1049,9.145597457885742,20
1099,8.999663352966309,21
1149,9.01830005645752,22
1199,9.041093826293945,23
1249,8.8128080368042,24
1299,8.68768310546875,25
1349,8.719310760498047,26
1399,8.646163940429688,27
1449,8.494501113891602,28
1499,8.631017684936523,29
1549,8.494336128234863,30
1599,8.527748107910156,31
1649,8.44880199432373,32
1699,8.40258502960205,33
1749,8.343611717224121,34
1799,8.31212329864502,35
1849,8.323863983154297,36
1899,8.303267478942871,37
1949,9.163695335388184,38
1999,8.32727336883545,39
2049,9.163561820983887,40
2099,8.296130180358887,41
2149,8.317293167114258,42
2199,8.145610809326172,43
2249,8.240677833557129,44
2299,8.137711524963379,45
2349,8.121235847473145,46
2399,8.109496116638184,47
2449,8.100615501403809,48
2499,8.194084167480469,49
